""	"tw"	"ira"	"e401"	"nifa"	"inc"	"hmort"	"hval"	"hequity"	"educ"	"male"	"twoearn"	"nohs"	"hs"	"smcol"	"col"	"age"	"fsize"	"marr"
"40"	3199	0	0	1399	32976	0	0	0	18	0	0	0	0	0	1	40	1	0
"41"	17300	0	0	500	40473	74000	95000	21000	12	0	1	0	1	0	0	31	4	1
"42"	500	0	0	0	4590	0	0	0	12	0	0	0	1	0	0	45	1	0
"43"	3000	0	0	3000	34764	0	0	0	10	1	1	1	0	0	0	63	2	1
"44"	0	0	0	0	25200	0	0	0	16	1	0	0	0	0	1	55	1	0
"45"	130000	0	0	57000	58878	130000	195000	65000	1	0	0	1	0	0	0	29	3	1
"46"	3100	0	0	100	14496	28000	35000	7000	15	0	0	0	0	1	0	53	2	0
"47"	4800	0	0	0	17280	0	0	0	12	0	0	0	1	0	0	46	6	0
"48"	181199	0	0	21199	50283	120000	280000	160000	16	0	1	0	0	0	1	39	4	1
"49"	320829	7000	0	999	51060	0	300000	300000	15	1	0	0	0	1	0	37	1	0
"50"	10200	0	0	200	31548	150000	185000	35000	14	0	1	0	0	1	0	56	6	1
"51"	40199	0	0	199	25542	0	0	0	8	1	0	1	0	0	0	41	4	0
"52"	-4651	0	0	699	28836	0	0	0	18	1	0	0	0	0	1	39	2	0
"53"	6158	0	0	2458	13866	0	0	0	12	0	0	0	1	0	0	32	2	0
"54"	2750	0	0	50	16215	0	2200	2200	13	0	0	0	0	1	0	26	3	1
"55"	187000	25000	0	75000	43002	38000	125000	87000	14	0	0	0	0	1	0	64	2	1
"56"	4300	0	0	100	42393	0	0	0	12	0	0	0	1	0	0	35	4	1
"57"	-1900	0	0	4100	50280	72000	75000	3000	13	0	1	0	0	1	0	37	4	1
"58"	3985	1000	0	135	21630	0	0	0	16	1	0	0	0	0	1	25	1	0
"59"	20204	0	0	704	51552	55000	55000	0	12	0	1	0	1	0	0	44	4	1
"60"	0	0	0	0	8286	0	0	0	12	1	0	0	1	0	0	27	1	0
"61"	16749	0	0	5199	15870	0	0	0	12	0	0	0	1	0	0	44	2	0
"62"	9000	0	0	0	22440	36000	45000	9000	12	0	1	0	1	0	0	32	3	1
"63"	335	0	0	360	20421	0	0	0	13	1	0	0	0	1	0	37	1	0
"64"	53600	0	0	0	27156	11500	65000	53500	12	0	0	0	1	0	0	48	2	0
"65"	170805	25800	0	42505	52035	30000	135000	105000	15	0	1	0	0	1	0	38	4	1
"66"	0	0	0	0	23223	0	0	0	12	1	0	0	1	0	0	31	4	1
"67"	-7498	6000	0	502	34002	0	0	0	12	0	0	0	1	0	0	45	3	1
"68"	154999	0	0	9999	60600	50000	200000	150000	12	0	1	0	1	0	0	41	5	1
"69"	365897	58000	0	31897	79545	0	75000	75000	18	0	0	0	0	0	1	59	2	1
"70"	-450	0	0	750	21600	0	0	0	12	0	0	0	1	0	0	53	1	0
"71"	215822	15522	0	48500	41994	96000	210000	114000	12	1	1	0	1	0	0	37	4	1
"72"	13100	0	0	7500	50346	59000	63000	4000	12	0	1	0	1	0	0	31	4	1
"73"	9033	0	0	100	19815	0	0	0	15	0	0	0	0	1	0	51	1	0
"74"	1474	0	0	499	33012	0	0	0	14	0	0	0	0	1	0	35	3	0
"75"	34294	0	0	626	38400	50400	80000	29600	12	0	1	0	1	0	0	28	2	1
"76"	6950	0	0	600	26472	24500	30000	5500	10	0	1	1	0	0	0	36	3	1
"77"	3950	0	0	750	27657	0	0	0	12	1	0	0	1	0	0	25	1	0
"78"	-34434	0	0	469	40917	0	0	0	13	0	0	0	0	1	0	60	3	1
"79"	11400	0	0	20400	47040	0	0	0	18	0	1	0	0	0	1	35	4	1
"80"	11924	0	0	10299	22956	0	0	0	6	0	0	1	0	0	0	44	2	0
"81"	167600	12500	0	5100	23109	0	150000	150000	13	0	0	0	0	1	0	60	2	1
"82"	14800	0	0	11100	28380	30000	30000	0	12	0	1	0	1	0	0	34	4	1
"83"	6904	0	0	1204	32154	0	0	0	13	0	1	0	0	1	0	27	3	1
"84"	106204	4318	0	20886	33096	19000	100000	81000	9	0	0	1	0	0	0	62	2	1
"85"	50	0	0	50	17883	0	0	0	6	0	1	1	0	0	0	34	5	1
"86"	3700	0	0	3100	22362	0	0	0	13	1	0	0	0	1	0	30	1	0
"87"	16400	0	0	1900	42114	0	0	0	15	0	1	0	0	1	0	36	6	1
"88"	718000	50000	0	34000	97299	0	275000	275000	16	1	1	0	0	0	1	52	4	1
"89"	83149	30600	0	1049	36060	0	50000	50000	13	0	0	0	0	1	0	40	1	1
"90"	8500	9000	0	1900	40194	0	0	0	12	0	1	0	1	0	0	40	3	1
"91"	114620	11000	0	4120	88422	70000	180000	110000	17	0	1	0	0	0	1	53	5	1
"92"	3000	0	0	3000	7938	0	0	0	12	0	0	0	1	0	0	46	2	0
"93"	752	0	0	152	14580	0	0	0	12	1	0	0	1	0	0	41	3	0
"94"	5100	2000	0	3600	29616	0	0	0	16	0	1	0	0	0	1	30	3	1
"95"	75500	0	0	8000	38850	100000	170000	70000	12	0	0	0	1	0	0	33	5	1
"96"	10600	0	0	500	45624	79500	90000	10500	13	0	0	0	0	1	0	41	4	1
"97"	0	0	0	0	5277	0	0	0	7	0	0	1	0	0	0	45	3	0
"98"	131868	0	0	387	21369	0	125000	125000	12	0	0	0	1	0	0	36	2	0
"99"	2650	0	0	3150	15420	0	0	0	12	0	0	0	1	0	0	58	2	1
"100"	500	0	0	0	8925	0	0	0	1	0	0	1	0	0	0	25	3	0
"101"	3250	0	0	700	20475	0	0	0	17	0	0	0	0	0	1	31	1	1
"102"	0	0	0	0	18753	0	0	0	12	0	0	0	1	0	0	30	1	0
"103"	1200	0	0	0	14280	0	0	0	6	1	0	1	0	0	0	28	1	0
"104"	18275	0	0	0	4872	0	16500	16500	18	1	0	0	0	0	1	39	2	0
"105"	7550	0	0	350	48900	0	0	0	12	1	1	0	1	0	0	27	3	1
"106"	0	0	0	0	11400	0	0	0	11	0	0	1	0	0	0	36	2	0
"107"	11200	0	0	200	33375	73000	80000	7000	12	0	1	0	1	0	0	46	3	1
"108"	32039	0	0	12003	11820	38000	55000	17000	12	0	0	0	1	0	0	57	2	0
"109"	-2140	0	0	20	22440	0	0	0	12	0	0	0	1	0	0	29	3	1
"110"	6475	0	0	1300	19215	0	0	0	12	1	0	0	1	0	0	29	1	0
"111"	10200	0	0	6000	15660	0	0	0	14	1	0	0	0	1	0	25	1	0
"112"	72000	0	0	2500	73650	130000	200000	70000	17	0	1	0	0	0	1	48	4	1
"113"	121999	0	0	17999	48111	150000	240000	90000	14	0	0	0	0	1	0	30	3	1
"114"	56450	0	0	250	22617	32000	90000	58000	12	0	1	0	1	0	0	41	4	1
"115"	135600	12500	0	30100	79650	52000	145000	93000	12	0	1	0	1	0	0	42	3	1
"116"	29800	0	0	0	6297	0	30000	30000	13	0	0	0	0	1	0	42	2	0
"117"	38950	0	0	1050	20172	58000	63000	5000	17	0	0	0	0	0	1	54	2	1
"118"	2400	0	0	2400	4146	0	0	0	12	0	0	0	1	0	0	61	1	0
"119"	-2266	0	0	2200	21972	0	0	0	12	0	0	0	1	0	0	33	2	0
"120"	4200	0	0	0	13440	0	0	0	14	0	0	0	0	1	0	42	4	0
"121"	11525	0	0	8167	43173	104000	120000	16000	16	0	0	0	0	0	1	29	4	1
"122"	1875	0	0	0	11376	0	0	0	13	0	0	0	0	1	0	28	1	0
"123"	2500	0	0	0	30600	0	0	0	9	0	0	1	0	0	0	33	6	1
"124"	11559	0	0	7759	27603	46000	50000	4000	12	0	0	0	1	0	0	35	4	1
"125"	25950	0	0	0	9120	15000	40000	25000	10	0	0	1	0	0	0	42	5	0
"126"	6400	0	0	900	17460	0	0	0	8	0	1	1	0	0	0	61	3	1
"127"	187710	0	0	410	9474	55700	250000	194300	12	0	0	0	1	0	0	44	5	1
"128"	-1450	0	0	125	33366	0	0	0	14	0	0	0	0	1	0	37	2	0
"129"	7650	0	0	3500	4860	0	0	0	15	0	0	0	0	1	0	30	1	0
"130"	35500	0	0	11500	55281	86000	110000	24000	13	0	1	0	0	1	0	43	4	1
"131"	7499	0	0	1499	43134	36000	45000	9000	13	0	1	0	0	1	0	35	4	1
"132"	57299	49800	0	1899	52440	0	0	0	13	0	1	0	0	1	0	46	3	1
"133"	169350	0	0	100550	26880	0	70000	70000	12	0	0	0	1	0	0	62	3	1
"134"	3550	0	0	0	30405	28000	30000	2000	12	0	0	0	1	0	0	37	4	0
"135"	15410	0	0	400	21036	20000	34010	14010	12	0	0	0	1	0	0	30	3	1
"136"	3200	0	0	300	12930	0	0	0	16	0	0	0	0	0	1	27	1	0
"137"	5	0	0	5	19200	0	0	0	13	0	0	0	0	1	0	33	1	0
"138"	103137	0	0	14880	52476	130000	210000	80000	16	1	0	0	0	0	1	33	1	0
"139"	20000	0	0	0	27120	65000	85000	20000	12	0	0	0	1	0	0	25	4	1
"140"	16650	0	0	50	12636	15600	30000	14400	16	0	0	0	0	0	1	36	7	1
"141"	3500	0	0	3000	13440	0	0	0	12	0	0	0	1	0	0	58	3	0
"142"	128314	0	0	43999	57828	32500	130000	97500	12	0	1	0	1	0	0	35	2	1
"143"	0	0	0	0	2400	0	0	0	12	0	0	0	1	0	0	45	3	1
"144"	6453	0	0	5000	64980	0	0	0	13	1	0	0	0	1	0	27	1	0
"145"	48450	0	0	1950	17544	10000	56000	46000	12	0	0	0	1	0	0	60	2	0
"146"	100	0	0	100	14040	0	0	0	12	0	0	0	1	0	0	46	3	1
"147"	10020	0	0	20	19980	0	10000	10000	9	0	1	1	0	0	0	30	5	1
"148"	2966	0	0	2400	24120	0	0	0	12	0	0	0	1	0	0	25	1	0
"149"	13000	0	0	8000	24051	0	0	0	12	0	0	0	1	0	0	28	4	1
"150"	51700	9000	0	3000	52350	125000	165000	40000	12	0	1	0	1	0	0	40	2	1
"151"	800	0	0	800	21012	0	0	0	12	1	0	0	1	0	0	35	1	0
"152"	86000	0	0	1000	56994	0	85000	85000	12	0	1	0	1	0	0	40	3	1
"153"	3350	0	0	0	26394	0	0	0	12	1	0	0	1	0	0	30	1	0
"154"	0	0	0	0	11220	0	0	0	3	0	0	1	0	0	0	30	3	0
"155"	21190	0	0	90	29232	0	0	0	14	0	0	0	0	1	0	46	1	0
"156"	184750	0	0	0	29700	150000	175000	25000	12	0	0	0	1	0	0	56	3	1
"157"	137446	4700	0	10246	68457	9500	135000	125500	16	0	1	0	0	0	1	45	5	1
"158"	3700	0	0	0	10944	0	0	0	13	0	1	0	0	1	0	36	4	1
"159"	337000	7000	0	4000	28050	132000	257000	125000	16	0	0	0	0	0	1	61	2	1
"160"	27000	0	0	400	23244	0	25000	25000	12	1	0	0	1	0	0	60	1	0
"161"	20545	0	0	17445	31548	75000	77400	2400	15	0	0	0	0	1	0	29	6	1
"162"	-9716	0	0	34	24840	0	0	0	12	1	1	0	1	0	0	33	7	1
"163"	12078	0	0	5200	66021	0	0	0	14	0	1	0	0	1	0	47	4	1
"164"	2149	0	0	1649	19659	28000	30000	2000	11	0	0	1	0	0	0	32	5	1
"165"	459121	20000	0	195141	45444	0	80000	80000	13	0	0	0	0	1	0	61	2	1
"166"	21425	0	0	5150	34410	15000	30000	15000	15	0	1	0	0	1	0	57	3	1
"167"	5100	0	0	100	26784	54000	55000	1000	13	0	1	0	0	1	0	29	5	1
"168"	39661	10800	0	1300	24261	45000	63000	18000	12	0	1	0	1	0	0	40	4	1
"169"	-12407	0	0	50	26901	0	0	0	15	0	0	0	0	1	0	41	2	0
"170"	167493	4400	0	4350	32106	50000	200000	150000	12	0	0	0	1	0	0	43	2	0
"171"	122064	7210	0	23992	46815	99900	125000	25100	17	0	0	0	0	0	1	44	3	0
"172"	11049	0	0	8299	47265	0	0	0	18	0	0	0	0	0	1	42	1	0
"173"	18585	0	0	5800	58260	70015	75000	4985	12	0	1	0	1	0	0	26	3	1
"174"	10700	0	0	16350	22560	0	0	0	18	1	0	0	0	0	1	33	1	0
"175"	-15750	1700	0	700	40608	60000	40000	-20000	12	0	1	0	1	0	0	26	2	1
"176"	91600	4000	0	22600	80550	30000	95000	65000	18	1	1	0	0	0	1	38	2	1
"177"	1056	0	0	40	17004	0	0	0	13	0	0	0	0	1	0	27	3	0
"178"	8200	0	0	10000	34170	0	0	0	16	0	0	0	0	0	1	25	1	0
"179"	50600	0	0	2000	24819	70000	120000	50000	12	0	0	0	1	0	0	56	3	1
"180"	28200	0	0	0	10800	32000	60000	28000	12	0	0	0	1	0	0	55	3	0
"181"	26400	0	0	1000	15198	17500	43000	25500	6	0	0	1	0	0	0	44	3	0
"182"	15070	0	0	9645	22050	0	0	0	14	0	0	0	0	1	0	33	2	0
"183"	499	0	0	499	18030	0	0	0	12	1	0	0	1	0	0	40	3	0
"184"	26530	0	0	30	7920	18500	45000	26500	12	0	0	0	1	0	0	56	1	0
"185"	14000	0	0	200	19302	25500	40000	14500	12	0	1	0	1	0	0	50	6	1
"186"	103075	3000	0	1500	21315	32000	125000	93000	13	0	0	0	0	1	0	40	2	0
"187"	48800	2000	0	47500	86820	0	0	0	18	0	0	0	0	0	1	26	1	0
"188"	-2500	0	0	0	3450	0	0	0	8	0	0	1	0	0	0	26	1	1
"189"	42449	0	0	20949	27975	56000	70000	14000	12	0	0	0	1	0	0	26	3	1
"190"	14000	0	0	0	3696	11000	27000	16000	12	0	0	0	1	0	0	40	3	0
"191"	9800	0	0	10800	56082	0	0	0	17	0	1	0	0	0	1	28	2	1
"192"	8530	0	0	2200	18069	34000	40000	6000	12	0	0	0	1	0	0	47	3	0
"193"	0	0	0	0	22950	0	0	0	7	0	1	1	0	0	0	37	7	1
"194"	121695	0	0	20461	27540	30000	120000	90000	12	0	0	0	1	0	0	63	2	1
"195"	-900	0	0	100	17604	0	0	0	12	0	0	0	1	0	0	31	1	0
"196"	4096	0	0	5800	39051	0	0	0	16	0	0	0	0	0	1	29	1	0
"197"	2758	0	0	3108	96174	0	0	0	16	0	1	0	0	0	1	34	5	1
"198"	53499	0	0	2499	47070	150000	200000	50000	12	0	1	0	1	0	0	28	2	1
"199"	29041	0	0	41	37848	36000	65000	29000	17	0	1	0	0	0	1	48	4	1
"200"	-10644	0	0	0	21000	0	0	0	18	0	0	0	0	0	1	44	7	0
"201"	89925	0	0	2000	24600	91000	175000	84000	12	1	0	0	1	0	0	42	1	0
"202"	87500	0	0	0	28500	80000	175000	95000	12	0	0	0	1	0	0	37	3	0
"203"	0	0	0	0	10440	0	0	0	8	0	0	1	0	0	0	54	2	0
"204"	29300	0	0	0	13332	0	30000	30000	10	0	0	1	0	0	0	59	2	1
"205"	0	0	0	0	17136	0	0	0	7	0	0	1	0	0	0	40	4	0
"206"	92528	31000	0	17898	63360	0	35000	35000	13	0	1	0	0	1	0	58	2	1
"207"	10295	4500	0	5700	27978	62000	62000	0	16	0	0	0	0	0	1	46	3	0
"208"	7200	0	0	700	43146	0	0	0	14	0	1	0	0	1	0	28	4	1
"209"	123850	0	0	2000	19152	0	120000	120000	18	0	0	0	0	0	1	42	2	0
"210"	29800	1000	0	1050	58320	0	0	0	12	0	1	0	1	0	0	27	3	1
"211"	18675	0	0	3450	11460	0	12000	12000	12	0	0	0	1	0	0	43	1	0
"212"	2475	0	0	300	13818	0	0	0	14	0	0	0	0	1	0	26	1	0
"213"	8570	0	0	20	26640	30000	38000	8000	12	0	1	0	1	0	0	35	3	1
"214"	18300	0	0	13050	17079	0	0	0	14	1	0	0	0	1	0	29	1	0
"215"	-8000	0	0	500	57021	0	0	0	14	0	0	0	0	1	0	34	3	1
"216"	34493	2000	0	27000	12690	0	0	0	18	1	0	0	0	0	1	29	1	0
"217"	3100	0	0	3600	58446	0	0	0	16	1	1	0	0	0	1	27	2	1
"218"	162999	0	0	2999	34836	0	90000	90000	14	0	1	0	0	1	0	35	5	1
"219"	239350	0	0	1500	25548	0	105000	105000	12	0	0	0	1	0	0	63	4	0
"220"	0	0	0	0	13110	0	0	0	11	0	0	1	0	0	0	30	3	0
"221"	157229	6700	0	529	18918	150000	300000	150000	12	0	0	0	1	0	0	46	2	1
"222"	182701	4000	0	23749	39201	55000	199999	144999	12	1	0	0	1	0	0	40	1	0
"223"	-2500	2900	0	100	36984	39000	43000	4000	18	0	0	0	0	0	1	39	1	0
"224"	186749	0	0	146249	34737	0	35000	35000	12	0	0	0	1	0	0	61	2	1
"225"	21450	0	0	450	22248	0	32000	32000	6	0	1	1	0	0	0	44	8	1
"226"	77049	2500	0	5049	67602	81000	140000	59000	16	0	1	0	0	0	1	44	7	1
"227"	-15696	0	0	230	33453	33500	33500	0	16	0	1	0	0	0	1	27	3	1
"228"	3400	0	0	3000	69375	0	0	0	16	1	0	0	0	0	1	42	1	0
"229"	118550	0	0	1250	42633	66500	180000	113500	16	0	1	0	0	0	1	40	5	1
"230"	4225	0	0	0	13320	0	0	0	11	0	0	1	0	0	0	25	2	0
"231"	151000	0	0	1000	102996	150000	300000	150000	18	1	1	0	0	0	1	34	3	1
"232"	0	0	0	0	6471	0	0	0	14	0	0	0	0	1	0	30	4	0
"233"	136011	16850	0	26598	39081	0	85000	85000	10	0	0	1	0	0	0	61	2	1
"234"	3350	0	0	0	15000	0	0	0	12	0	0	0	1	0	0	51	1	0
"235"	13230	0	0	830	24144	0	0	0	14	0	0	0	0	1	0	35	4	1
"236"	78010	0	0	3010	52206	150000	252000	102000	12	0	1	0	1	0	0	48	7	1
"237"	55175	15918	0	39257	23877	0	0	0	12	0	0	0	1	0	0	38	2	1
"238"	38500	0	0	5	59208	17400	60000	42600	12	0	1	0	1	0	0	43	4	1
"239"	91000	0	0	46500	41712	103000	145000	42000	12	0	0	0	1	0	0	33	4	1
"240"	40370	0	0	1370	46791	78000	78000	0	12	0	1	0	1	0	0	49	2	1
"241"	183648	63000	0	648	54261	40000	160000	120000	16	0	1	0	0	0	1	40	5	1
"242"	0	0	0	0	16491	0	0	0	15	0	0	0	0	1	0	29	5	1
"243"	98050	0	0	62800	53835	62000	95000	33000	12	0	1	0	1	0	0	37	4	1
"244"	0	0	0	0	16278	0	0	0	12	0	0	0	1	0	0	25	3	0
"245"	7796	0	0	1202	10857	0	6000	6000	12	1	0	0	1	0	0	27	1	0
"246"	10599	0	0	599	47937	35000	45000	10000	12	0	1	0	1	0	0	39	4	1
"247"	82024	0	0	449	16590	0	80000	80000	12	0	0	0	1	0	0	52	2	0
"248"	7399	0	0	399	44424	0	0	0	12	0	1	0	1	0	0	30	2	1
"249"	49	0	0	49	11733	0	0	0	12	0	0	0	1	0	0	25	2	1
"250"	12500	0	0	0	36885	40000	55000	15000	12	0	1	0	1	0	0	29	4	1
"251"	165299	0	0	75299	33510	0	90000	90000	12	0	0	0	1	0	0	58	2	1
"252"	56596	10000	0	21000	59256	0	0	0	17	0	0	0	0	0	1	48	2	0
"253"	31600	2000	0	15000	50328	72000	95000	23000	14	0	0	0	0	1	0	45	2	0
"254"	130499	15000	0	40999	31014	0	75000	75000	16	0	0	0	0	0	1	55	2	1
"255"	2199	0	0	2499	40926	88000	88000	0	12	0	1	0	1	0	0	53	3	1
"256"	3175	0	0	100	12513	0	0	0	16	0	0	0	0	0	1	48	1	0
"257"	36000	6000	0	1400	30879	145000	170000	25000	16	0	0	0	0	0	1	28	1	0
"258"	-1050	0	0	800	27030	0	0	0	16	1	0	0	0	0	1	28	1	0
"259"	90274	50000	0	39774	29982	0	0	0	12	0	0	0	1	0	0	61	1	0
"260"	51280	0	0	0	17100	7300	58000	50700	13	0	0	0	0	1	0	46	1	0
"261"	3946	0	0	3446	30720	0	0	0	15	1	0	0	0	1	0	47	2	0
"262"	3295	1200	0	3270	29661	0	0	0	16	0	0	0	0	0	1	27	1	0
"263"	140447	45300	0	1247	73017	61000	125000	64000	18	0	1	0	0	0	1	48	3	1
"264"	8649	0	0	9449	65505	106000	106000	0	17	0	1	0	0	0	1	36	4	1
"265"	-9192	0	0	2000	55311	0	0	0	18	1	1	0	0	0	1	26	2	1
"266"	25220	0	0	3720	2307	0	21000	21000	10	0	0	1	0	0	0	60	2	0
"267"	335685	50000	0	5083	53379	27000	300000	273000	16	0	0	0	0	0	1	64	4	1
"268"	3015	0	0	2115	35205	0	0	0	11	0	0	1	0	0	0	27	5	1
"269"	500	0	0	0	9408	0	0	0	9	0	0	1	0	0	0	28	5	0
"270"	392	0	0	392	24840	0	0	0	7	0	1	1	0	0	0	32	3	1
"271"	-1935	0	0	65	22140	0	0	0	14	0	0	0	0	1	0	56	7	0
"272"	24499	0	0	2499	56094	83000	90000	7000	12	0	1	0	1	0	0	46	2	1
"273"	9225	0	0	2400	7275	0	5000	5000	16	1	0	0	0	0	1	30	1	0
"274"	-33880	0	0	7500	61125	0	0	0	16	0	1	0	0	0	1	27	2	1
"275"	36210	0	0	15210	34452	56000	85000	29000	13	0	1	0	0	1	0	32	3	1
"276"	-4925	0	0	75	10185	0	0	0	12	0	1	0	1	0	0	36	5	1
"277"	110898	9000	0	15300	35847	21000	25000	4000	12	1	0	0	1	0	0	51	1	0
"278"	0	0	0	0	16578	0	0	0	7	1	0	1	0	0	0	49	1	0
"279"	3000	0	0	3000	24705	0	0	0	18	0	0	0	0	0	1	35	4	1
"280"	9156	0	0	6700	36042	0	0	0	16	0	1	0	0	0	1	25	2	1
"281"	12750	0	0	0	18756	0	12000	12000	12	0	0	0	1	0	0	32	2	0
"282"	1000	0	0	0	3876	0	0	0	12	0	0	0	1	0	0	25	2	0
"283"	275008	60000	0	7266	28017	0	106400	106400	12	0	0	0	1	0	0	64	2	1
"284"	99	0	0	99	26202	0	0	0	12	0	0	0	1	0	0	54	1	0
"285"	-3000	0	0	0	19770	4000	8000	4000	12	0	1	0	1	0	0	28	4	1
"286"	2860	0	0	699	15561	0	0	0	12	0	0	0	1	0	0	45	2	0
"287"	4750	0	0	900	33210	42000	45000	3000	12	1	0	0	1	0	0	30	1	0
"288"	55100	8000	0	100	13200	18000	60000	42000	10	0	0	1	0	0	0	49	4	1
"289"	19145	0	0	5800	25923	41000	55000	14000	14	0	0	0	0	1	0	49	1	0
"290"	67899	11500	0	7399	41064	80000	130000	50000	12	0	0	0	1	0	0	63	3	1
"291"	448400	86000	0	104000	39150	46000	250000	204000	13	0	0	0	0	1	0	58	2	1
"292"	200	0	0	0	2205	0	0	0	12	0	0	0	1	0	0	46	6	0
"293"	13333	8000	0	2850	27381	0	0	0	14	0	0	0	0	1	0	43	2	0
"294"	87000	0	0	20000	30381	13000	80000	67000	11	0	0	1	0	0	0	62	2	1
"295"	19699	0	0	899	27033	0	5000	5000	12	0	0	0	1	0	0	55	1	0
"296"	13500	0	0	1500	24345	0	0	0	12	1	1	0	1	0	0	42	3	1
"297"	10600	0	0	400	32376	32500	36000	3500	12	0	0	0	1	0	0	56	2	1
"298"	249	0	0	249	14931	120000	120000	0	16	0	0	0	0	0	1	31	1	0
"299"	27998	0	0	9998	39102	102000	120000	18000	12	0	0	0	1	0	0	49	3	1
"300"	-2475	0	0	25	22236	0	0	0	12	0	1	0	1	0	0	30	2	1
"301"	70000	0	0	0	37548	0	70000	70000	12	0	1	0	1	0	0	35	5	1
"302"	30000	0	0	4000	29160	14000	35000	21000	12	0	0	0	1	0	0	36	6	1
"303"	71550	0	0	2600	77940	61000	130000	69000	15	0	1	0	0	1	0	36	4	1
"304"	-9400	0	0	0	22680	28000	20000	-8000	12	0	1	0	1	0	0	28	4	1
"305"	167746	8700	0	5428	31692	0	145000	145000	8	1	0	1	0	0	0	62	2	1
"306"	72600	5000	0	5100	37500	107000	170000	63000	13	0	0	0	0	1	0	44	1	0
"307"	-922	0	0	644	8826	33750	33750	0	13	1	0	0	0	1	0	27	1	0
"308"	-5226	0	0	128	11913	0	0	0	9	0	0	1	0	0	0	48	1	0
"309"	4371	0	0	0	15570	0	0	0	7	1	0	1	0	0	0	49	1	0
"310"	88172	2500	0	2672	29898	0	85000	85000	15	0	1	0	0	1	0	43	4	1
"311"	16076	0	0	11502	25770	0	0	0	17	0	1	0	0	0	1	39	2	1
"312"	-2225	0	0	100	12240	0	0	0	14	0	0	0	0	1	0	31	2	1
